Global_Group,Not Prepared,Prepared,Somewhat Prepared,Total,% Prepared,% Somewhat Prepared,% Not Prepared
Global North,0,514,43,557,92.28,7.72,0.0
Global South,20,3351,414,3785,88.53,10.94,0.53
