Disaster Type,Not Prepared,Prepared,Somewhat Prepared
Drought,50.0,28.999999999999996,21.0
Earthquake,14.000000000000002,57.99999999999999,28.000000000000004
Extreme temperature,19.0,39.0,42.0
Flood,11.0,54.0,35.0
Storm,15.0,56.99999999999999,28.000000000000004
Wildfire,0.0,73.0,27.0
