Preparedness_Level,Gov_Effectiveness_Estimate,Rights_Risk_Score
Not Prepared,-0.3232205595357055,2.90251572327044
Prepared,0.003710024798674692,2.8556159420289857
Somewhat Prepared,-0.3197633244510574,2.8642533936651584
