Subregion,Not Prepared,Prepared,Somewhat Prepared
Australia and New Zealand,0,69,8
Central Asia,2,61,6
Eastern Asia,82,177,88
Eastern Europe,6,151,24
Latin America and the Caribbean,47,633,174
Melanesia,1,65,13
Micronesia,0,26,2
Northern Africa,7,72,23
Northern America,5,147,35
Northern Europe,3,42,16
Polynesia,0,31,1
South-eastern Asia,73,191,159
Southern Asia,110,150,188
Southern Europe,13,198,24
Sub-Saharan Africa,110,514,290
Western Asia,5,138,33
Western Europe,13,95,21
