,Total_Deaths,Total_Injured,Total_Homeless,Total_Affected
count,4342.0,4342.0,4342.0,4342.0
mean,2.1465503130842727,1.3232277468342561,1.4550016855951788,7.722504479754389
std,2.0335510129831817,2.2678046842580266,3.245587215169649,5.016319853533835
min,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,4.61512051684126
50%,1.9459101490553132,0.0,0.0,8.76490715407122
75%,3.4965075614664802,2.3978952727983707,0.0,11.451315972478437
max,12.313001430810091,12.816959870471418,15.424948670398354,19.6146032154551
